{'trial_id': 'pd_20_105', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 105.00000000000001, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.030708866853206816, 'max_com_displacement_m': 0.016136291531502606, 'max_joint_torque_Nm': 3.8555256107486504, 'max_contact_force_N': 235.88409298932885, 'min_friction_margin': 0.8837104657458399, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
{'trial_id': 'pd_20_120', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 119.99999999999999, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.029285319666073346, 'max_com_displacement_m': 0.01531426788125973, 'max_joint_torque_Nm': 3.444450055482221, 'max_contact_force_N': 229.37309160488635, 'min_friction_margin': 0.9011518977504598, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
{'trial_id': 'pd_20_135', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 135.0, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': False, 'failure_reason': 'FALL', 'recovered_at_s': '', 'recovery_latency_s': '', 'max_torso_error_rad': 1.8851455075383186, 'max_com_displacement_m': 0.7988784654796037, 'max_joint_torque_Nm': 139.0, 'max_contact_force_N': 3012.1808641630455, 'min_friction_margin': 0.0, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
{'trial_id': 'pd_20_150', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 150.0, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': False, 'failure_reason': 'FALL', 'recovered_at_s': '', 'recovery_latency_s': '', 'max_torso_error_rad': 1.784434622991552, 'max_com_displacement_m': 0.8674725040394718, 'max_joint_torque_Nm': 139.0, 'max_contact_force_N': 2291.8130386767234, 'min_friction_margin': 0.0, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
{'trial_id': 'pd_20_165', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 165.0, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': False, 'failure_reason': 'FALL', 'recovered_at_s': '', 'recovery_latency_s': '', 'max_torso_error_rad': 1.6657136684437992, 'max_com_displacement_m': 0.7181759791045133, 'max_joint_torque_Nm': 139.0, 'max_contact_force_N': 3375.606108556075, 'min_friction_margin': 0.0, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
{'trial_id': 'pd_20_180', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 180.0, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': False, 'failure_reason': 'FALL', 'recovered_at_s': '', 'recovery_latency_s': '', 'max_torso_error_rad': 1.727630536576686, 'max_com_displacement_m': 0.983936164871396, 'max_joint_torque_Nm': 139.0, 'max_contact_force_N': 1990.6654257753185, 'min_friction_margin': 0.0, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
{'trial_id': 'pd_20_195', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 195.0, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': False, 'failure_reason': 'FALL', 'recovered_at_s': '', 'recovery_latency_s': '', 'max_torso_error_rad': 1.8924888450830855, 'max_com_displacement_m': 0.7253863566302686, 'max_joint_torque_Nm': 139.0, 'max_contact_force_N': 2474.8837791677556, 'min_friction_margin': 0.0, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
{'trial_id': 'pd_20_210', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 210.00000000000003, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': False, 'failure_reason': 'FALL', 'recovered_at_s': '', 'recovery_latency_s': '', 'max_torso_error_rad': 1.9104854943738199, 'max_com_displacement_m': 0.9177260598663562, 'max_joint_torque_Nm': 139.0, 'max_contact_force_N': 2025.6046520390978, 'min_friction_margin': 0.0, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
{'trial_id': 'pd_20_225', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 225.0, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': False, 'failure_reason': 'FALL', 'recovered_at_s': '', 'recovery_latency_s': '', 'max_torso_error_rad': 1.7297528059815541, 'max_com_displacement_m': 0.7048256341953834, 'max_joint_torque_Nm': 139.0, 'max_contact_force_N': 3031.4178051320305, 'min_friction_margin': -2.220446049250313e-16, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
{'trial_id': 'pd_20_240', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 239.99999999999997, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.02928479508411657, 'max_com_displacement_m': 0.015313952852485711, 'max_joint_torque_Nm': 3.422262050841657, 'max_contact_force_N': 229.16115541092475, 'min_friction_margin': 0.9013005541246091, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
{'trial_id': 'pd_20_255', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 255.00000000000003, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.030708153469935863, 'max_com_displacement_m': 0.01613590641575123, 'max_joint_torque_Nm': 3.8137950119922266, 'max_contact_force_N': 235.67504477477115, 'min_friction_margin': 0.8839042989231741, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
{'trial_id': 'pd_20_270', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 270.0, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.03191149133052712, 'max_com_displacement_m': 0.016846699836771305, 'max_joint_torque_Nm': 3.972581818117348, 'max_contact_force_N': 237.90139370861348, 'min_friction_margin': 0.874359657581556, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
{'trial_id': 'pd_20_285', 'controller': 'pd', 'push_magnitude_N': 20.0, 'push_direction_deg': 285.0, 'push_duration_s': 0.15, 'impulse_Ns': 3.0, 'success': True, 'failure_reason': None, 'recovered_at_s': 2.1519999999999846, 'recovery_latency_s': 0.0019999999999846807, 'max_torso_error_rad': 0.039024282239294154, 'max_com_displacement_m': 0.020383561814032614, 'max_joint_torque_Nm': 4.354272006381799, 'max_contact_force_N': 235.539956377937, 'min_friction_margin': 0.8773419202950372, 'seed': 0, 'mass_kg': 35.112142000000006, 'force_over_mg': 0.058063560568025495, 'impulse_over_mass_m_s': 0.08544052937584952}
